Month,County,Year ,Unemployment_Rate,State
June,Grand Terrace city,2020,13.8,CA
June,Granite Bay CDP,2020,11.8,CA
June,Grass Valley city,2020,16,CA
June,Graton CDP,2020,20.9,CA
June,Greenfield city,2020,12.4,CA
June,Greenhorn CDP,2020,20.8,CA
June,Green Valley CDP,2020,0,CA
June,Greenville CDP,2020,27.6,CA
June,Gridley city,2020,13.6,CA
June,Grover Beach city,2020,14.2,CA
June,Guadalupe city,2020,9.7,CA
June,Guerneville CDP,2020,12.4,CA
June,Gustine city,2020,16.2,CA
June,Hacienda Heights CDP,2020,16,CA
June,Half Moon Bay city,2020,8.5,CA
June,Hamilton Branch CDP,2020,23,CA
June,Hamilton City CDP,2020,13.2,CA
June,Hanford city,2020,13.4,CA
June,Hawaiian Gardens city,2020,20.5,CA
June,Hawthorne city,2020,22.8,CA
June,Hayfork CDP,2020,2.6,CA
June,Hayward city,2020,15.8,CA
June,Healdsburg city,2020,10.6,CA
June,Heber CDP,2020,28.2,CA
June,Hemet city,2020,17.7,CA
June,Hercules city,2020,13.5,CA
June,Hermosa Beach city,2020,10.2,CA
June,Hesperia city,2020,15.3,CA
June,Hidden Hills city,2020,16.4,CA
June,Hidden Valley Lake CDP,2020,4.7,CA
June,Highgrove CDP,2020,21.5,CA
June,Highland city,2020,14.4,CA
June,Hillsborough town,2020,11.2,CA
June,Hilmar Irwin CDP,2020,5.5,CA
June,Hollister city,2020,14.9,CA
June,Holtville city,2020,29.7,CA
June,Home Garden CDP,2020,22.5,CA
June,Home Gardens CDP,2020,12.7,CA
June,Homeland CDP,2020,15.8,CA
June,Hughson city,2020,11.6,CA
June,Huntington Beach city,2020,13.3,CA
June,Huntington Park city,2020,17.5,CA
June,Huron city,2020,20.5,CA
June,Hydesville CDP,2020,1.6,CA
June,Idyllwild Pine Cove CDP,2020,9.1,CA
June,Imperial city,2020,24.4,CA
June,Imperial Beach city,2020,18,CA
June,Independence CDP,2020,6.9,CA
June,Indian Falls CDP,2020,0,CA
June,Indian Wells city,2020,12.4,CA
June,Indio city,2020,17.8,CA
June,Industry city,2020,21.3,CA
June,Inglewood city,2020,24.2,CA
June,Interlaken CDP,2020,13.9,CA
June,Inverness CDP,2020,4.4,CA
June,Inyokern CDP,2020,0,CA
June,Ione city,2020,12.2,CA
June,Iron Horse CDP,2020,0,CA
June,Irvine city,2020,11.3,CA
June,Irwindale city,2020,27.1,CA
June,Isla Vista CDP,2020,24,CA
June,Isleton city,2020,12.9,CA
June,Ivanhoe CDP,2020,18.9,CA
June,Jackson city,2020,10.6,CA
June,Jamestown CDP,2020,22.1,CA
June,Johannesburg CDP,2020,0,CA
June,Johnsville CDP,2020,0,CA
June,Joshua Tree CDP,2020,21.1,CA
June,Jurupa Valley city,2020,12.9,CA
June,Keddie CDP,2020,62.5,CA
June,Keeler CDP,2020,0,CA
June,Keene CDP,2020,18.5,CA
June,Kelseyville CDP,2020,9.7,CA
June,Kennedy CDP,2020,24,CA
June,Kensington CDP,2020,8.6,CA
June,Kerman city,2020,12.5,CA
June,Kernville CDP,2020,0,CA
June,Kettleman City CDP,2020,20.4,CA
June,Keyes CDP,2020,15.5,CA
June,King City city,2020,8.2,CA
June,Kings Beach CDP,2020,4.3,CA
June,Kingsburg city,2020,10.2,CA
June,Kirkwood CDP,2020,9.2,CA
June,Klamath CDP,2020,19.6,CA
June,Knightsen CDP,2020,7.7,CA
June,La Canada Flintridge city,2020,9.9,CA
June,La Crescenta Montrose CDP,2020,14.6,CA
June,Ladera Heights CDP,2020,23.2,CA
June,Lafayette city,2020,8.5,CA
June,Laguna Beach city,2020,11,CA
June,Laguna Hills city,2020,11.5,CA
June,Laguna Niguel city,2020,11.9,CA
June,Laguna Woods city,2020,9.4,CA
June,La Habra city,2020,13.9,CA
June,La Habra Heights city,2020,16.4,CA
June,Lake Almanor Country Club CDP,2020,0,CA
June,Lake Almanor Peninsula CDP,2020,0,CA
June,Lake Almanor West CDP,2020,36.7,CA
June,Lake Arrowhead CDP,2020,14.5,CA
June,Lake Elsinore city,2020,14.9,CA
June,Lake Forest city,2020,10.7,CA
June,Lake Isabella CDP,2020,23.4,CA
June,Lakeland Village CDP,2020,21.4,CA
June,Lake Los Angeles CDP,2020,32.7,CA
June,Lake Nacimiento CDP,2020,9.9,CA
June,Lake of the Pines CDP,2020,18.4,CA
June,Lake of the Woods CDP,2020,17.2,CA
June,Lakeport city,2020,8,CA
June,Lakeside CDP,2020,17.7,CA
June,Lakeview CDP,2020,15.7,CA
June,Lake Wildwood CDP,2020,3.4,CA
June,Lakewood city,2020,19,CA
June,La Mesa city,2020,14.2,CA
June,La Mirada city,2020,18.8,CA
June,Lamont CDP,2020,16.1,CA
June,Lanare CDP,2020,0,CA
June,Lancaster city,2020,19.9,CA
June,La Palma city,2020,13.4,CA
June,La Porte CDP,2020,0,CA
June,La Puente city,2020,19.8,CA
June,La Quinta city,2020,16.3,CA
June,La Riviera CDP,2020,11.8,CA
June,Larkspur city,2020,8,CA
June,Las Flores CDP,2020,4.7,CA
June,Las Lomas CDP,2020,17.6,CA
June,Lathrop city,2020,12,CA
June,Laton CDP,2020,17.1,CA
June,La Verne city,2020,16,CA
June,Lawndale city,2020,23,CA
June,Laytonville CDP,2020,27.6,CA
June,Lebec CDP,2020,28.1,CA
June,Le Grand CDP,2020,20.1,CA
June,Lemon Cove CDP,2020,5.8,CA
June,Lemon Grove city,2020,17,CA
June,Lemoore city,2020,12.6,CA
June,Lemoore Station CDP,2020,11.1,CA
June,Lennox CDP,2020,20.3,CA
June,Lenwood CDP,2020,3.9,CA
June,Lewiston CDP,2020,9.4,CA
June,Lincoln city,2020,11.4,CA
June,Lincoln Village CDP,2020,14.3,CA
June,Linda CDP,2020,19.2,CA
June,Linden CDP,2020,6.4,CA
June,Lindsay city,2020,23.1,CA
June,Little Grass Valley CDP,2020,0,CA
June,Littlerock CDP,2020,35.5,CA
June,Live Oak CDP,2020,9,CA
June,Live Oak city,2020,13.2,CA
June,Livermore city,2020,11.2,CA
June,Livingston city,2020,8.1,CA
June,Lockeford CDP,2020,17.1,CA
June,Lodi city,2020,13.3,CA
June,Loma Linda city,2020,9.2,CA
June,Loma Rica CDP,2020,5.1,CA
June,Lomita city,2020,17.8,CA
June,Lompoc city,2020,15,CA
June,London CDP,2020,24.3,CA
June,Lone Pine CDP,2020,11.8,CA
June,Long Beach city,2020,19.6,CA
June,Loomis town,2020,13.1,CA
June,Los Alamitos city,2020,14.2,CA
June,Los Alamos CDP,2020,11.8,CA
June,Los Altos city,2020,5.9,CA
June,Los Angeles city,2020,20,CA
June,Los Banos city,2020,20,CA
June,Los Gatos town,2020,8.6,CA
June,Los Molinos CDP,2020,11.6,CA
June,Lost Hills CDP,2020,6.7,CA
June,Lower Lake CDP,2020,12.9,CA
